participant,age_months,age_days,int_sight,int_sight_lookback,int_sound,moving_toy,moving_toy_lookback,freeplay,freeplay_lookback
1,6,184,0,0,1,0,0,0,0
1,7,220,0,0,0,0,0,0,0
1,8,246,1,1,1,1,1,0,0
1,9,274,0,0,1,1,1,1,1
1,10,309,0,0,0,0,0,0,0
2,6,192,1,1,1,0,0,0,0
2,7,215,0,0,0,0,0,0,0
2,8,247,0,0,0,0,0,1,1
2,9,282,0,0,0,1,1,1,1
2,10,306,0,0,1,0,0,1,1
3,6,189,0,0,NA,0,0,0,0
3,7,212,1,1,1,1,1,0,0
3,8,248,1,1,0,1,1,0,0
3,9,273,1,1,0,1,1,0,0
3,10,305,1,1,1,0,0,0,0
4,6,184,0,0,NA,0,0,0,0
4,7,212,0,0,1,1,1,0,0
4,8,245,0,0,0,1,1,0,0
4,9,273,1,1,1,0,0,1,0
4,10,308,0,0,1,0,0,0,0
5,6,174,0,0,0,0,0,0,0
5,7,213,0,0,0,0,0,0,0
5,8,248,1,1,0,0,0,0,0
5,9,276,0,0,0,1,1,0,0
5,10,304,1,0,0,0,0,0,0
6,6,182,1,1,0,0,0,0,0
6,7,215,0,0,1,0,0,0,0
6,8,243,0,0,0,1,1,0,0
6,9,273,0,0,0,0,0,1,1
6,10,303,1,1,0,1,1,1,0
7,6,187,0,0,0,1,1,0,0
7,7,216,0,0,0,0,0,0,0
7,8,245,0,0,1,1,1,1,1
7,9,274,1,1,1,1,1,1,1
7,10,301,0,0,0,0,0,1,1
8,6,186,0,0,1,0,0,0,0
8,7,214,1,0,0,0,0,0,0
8,8,244,0,0,1,0,0,0,0
8,9,277,1,0,1,0,0,0,0
8,10,300,NA,NA,0,1,1,0,0
9,6,182,0,0,0,1,0,0,0
9,7,215,1,1,0,0,0,0,0
9,8,244,1,1,0,1,1,0,0
9,9,275,0,0,0,0,0,0,0
9,10,305,1,1,0,0,0,0,0
10,6,189,0,0,0,0,0,1,1
10,7,213,0,0,0,0,0,0,0
10,8,243,1,1,1,0,0,1,0
10,9,277,0,0,0,0,0,0,0
10,10,307,1,1,1,1,1,1,0
11,6,185,1,1,1,0,0,0,0
11,7,213,1,1,0,1,1,0,0
11,8,248,1,1,1,1,1,1,0
11,9,273,0,0,0,0,0,1,1
11,10,318,1,1,0,1,1,1,1
12,6,186,0,0,1,0,0,1,0
12,7,216,0,0,0,0,0,0,0
12,8,243,0,0,0,0,0,0,0
12,9,274,0,0,0,0,0,0,0
12,10,309,1,1,0,1,1,0,0
13,6,181,0,0,0,0,0,0,0
13,7,216,0,0,0,1,1,0,0
13,8,244,0,0,0,0,0,0,0
13,9,273,1,1,0,0,0,0,0
13,10,307,0,0,0,0,0,0,0
14,6,185,1,1,0,1,1,0,0
14,7,221,0,0,0,1,0,1,1
14,8,242,0,0,1,0,0,0,0
14,9,277,1,0,0,0,0,0,0
14,10,305,1,1,0,1,0,1,1
15,6,184,0,0,0,0,0,0,0
15,7,212,0,0,0,1,1,0,0
15,8,239,1,1,0,1,1,0,0
15,9,271,1,0,0,1,0,1,1
15,10,302,0,0,0,1,1,1,1
16,6,184,0,0,0,0,0,0,0
16,7,212,0,0,0,1,1,0,0
16,8,246,1,1,0,0,0,0,0
16,9,280,1,1,0,0,0,0,0
16,10,315,1,1,0,0,0,0,0
17,6,187,0,0,0,0,0,0,0
17,7,217,0,0,0,0,0,0,0
17,8,248,0,0,0,0,0,0,0
17,9,276,0,0,1,0,0,1,1
17,10,313,1,0,1,0,0,0,0
18,6,186,0,0,0,0,0,0,0
18,7,212,0,0,0,0,0,0,0
18,8,242,0,0,0,1,1,1,1
18,9,278,0,0,0,0,0,1,1
18,10,307,1,1,0,0,0,1,0
19,6,184,0,0,0,0,0,0,0
19,7,212,0,0,1,1,1,0,0
19,8,248,0,0,0,0,0,0,0
19,9,275,1,1,0,1,1,0,0
19,10,304,0,0,0,0,0,0,0
20,6,188,0,0,0,0,0,0,0
20,7,214,0,0,0,0,0,0,0
20,8,247,0,0,0,0,0,0,0
20,9,274,0,0,1,1,1,1,1
20,10,311,1,1,0,0,0,1,0
21,6,184,0,0,0,0,0,0,0
21,7,217,0,0,0,0,0,0,0
21,8,244,1,1,0,0,0,0,0
21,9,266,0,0,0,0,0,0,0
21,10,304,1,1,1,1,1,0,0
22,6,182,1,1,1,1,1,0,0
22,7,209,0,0,0,1,1,0,0
22,8,243,0,0,0,1,1,0,0
22,9,286,1,1,1,0,0,0,0
22,10,309,1,0,0,1,1,0,0
23,6,154,0,0,0,0,0,0,0
23,7,190,0,0,0,0,0,0,0
23,8,229,0,0,0,1,1,0,0
23,9,246,0,0,0,0,0,0,0
23,10,274,NA,NA,NA,NA,NA,NA,NA
24,6,187,0,0,0,0,0,0,0
24,7,222,0,0,0,1,1,1,1
24,8,250,1,1,0,0,0,0,0
24,9,274,0,0,0,0,0,0,0
24,10,306,1,1,1,0,0,0,0
25,6,186,0,0,0,0,0,0,0
25,7,222,0,0,0,0,0,0,0
25,8,247,0,0,0,0,0,1,0
25,9,281,1,1,0,1,1,1,1
25,10,309,1,1,0,0,0,1,0
